,GRID_CODE1-zoom,GRID_CODE-youtube,GRID_CODE-twitter,GRID_CODE-poi,GRID_CODE-flickr,GRID_CODE-email,GRID_CODE-company,Cluster_int
0,2998363.25,0.0,83493.41,0.0,7007802.5,0.0,0.0,0
1,5904677.5,0.0,3243876.25,0.0,5708279.5,0.0,0.0,0
2,3986227.0,0.0,11488753.0,0.0,3047369.75,0.0,0.0,0
3,1017237.06,0.0,10204569.0,0.0,13899.71,0.0,0.0,0
4,4044450.0,0.0,1712450.75,0.0,0.0,79653.27,0.0,0
5,5260009.0,0.0,0.0,0.0,0.0,3721748.5,0.0,0
6,3295980.75,0.0,0.0,0.0,0.0,5974902.0,0.0,0
7,909318.06,0.0,0.0,0.0,0.0,3340717.25,0.0,0
8,0.0,0.0,0.0,0.0,0.0,6302.48,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,3183821.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,5980776.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,3900712.75,0.0,0.0,0.0,0.0,0.0,0.0,0
13,138909.44,0.0,0.0,0.0,0.0,466617.38,0.0,0
14,0.0,0.0,0.0,0.0,0.0,589079.0,0.0,0
15,0.0,0.0,256755.95,0.0,0.0,422607.34,0.0,0
16,0.0,0.0,1338611.5,0.0,0.0,2471783.5,0.0,0
17,0.0,0.0,1864689.88,0.0,0.0,1856467.63,0.0,0
18,0.0,0.0,3448210.25,0.0,0.0,444.28,0.0,0
19,0.0,0.0,3271392.75,0.0,0.0,0.0,0.0,0
20,0.0,0.0,1175307.38,0.0,0.0,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23,0.0,0.0,755789.5,0.0,0.0,0.0,0.0,0
24,0.0,0.0,2287974.0,0.0,0.0,0.0,0.0,0
25,0.0,0.0,1048724.0,0.0,0.0,0.0,0.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28,0.0,0.0,464969.13,0.0,0.0,0.0,0.0,0
29,0.0,0.0,3845995.25,0.0,0.0,0.0,0.0,0
30,2038794.75,0.0,4446105.5,0.0,0.0,0.0,0.0,0
31,3898033.0,0.0,1720324.13,0.0,0.0,0.0,0.0,0
32,1929452.63,0.0,3056600.5,0.0,0.0,0.0,0.0,0
33,0.0,0.0,2855017.5,0.0,0.0,0.0,0.0,0
34,0.0,0.0,248522.88,0.0,0.0,168880.97,0.0,0
35,0.0,0.0,0.0,0.0,0.0,3855311.0,0.0,0
36,0.0,0.0,0.0,0.0,0.0,5684703.5,0.0,0
37,753728.5,0.0,0.0,0.0,0.0,2799773.0,0.0,0
38,4416890.0,0.0,0.0,0.0,0.0,0.0,0.0,0
39,4854653.5,0.0,0.0,0.0,0.0,0.0,0.0,0
40,1376491.13,0.0,444179.5,0.0,0.0,0.0,0.0,0
41,155138.55,0.0,158857.86,0.0,0.0,0.0,0.0,0
42,1910091.13,0.0,0.0,0.0,0.0,0.0,0.0,0
43,1533803.63,0.0,1422187.38,0.0,0.0,0.0,0.0,0
44,2223638.0,0.0,2264622.5,0.0,0.0,1503327.25,0.0,0
45,6639487.0,0.0,469774.94,0.0,0.0,4005224.75,0.0,0
46,9341229.0,0.0,0.0,0.0,0.0,3349072.75,0.0,0
47,8113225.0,0.0,432525.03,0.0,0.0,1101565.0,0.0,0
48,5842905.5,0.0,1212778.88,0.0,0.0,838196.94,0.0,0
49,6105221.5,0.0,170636.86,0.0,0.0,192.09,0.0,0
