x,y,GRID_CODE1-zoom,GRID_CODE-youtube,GRID_CODE-twitter,GRID_CODE-poi,GRID_CODE-flickr,GRID_CODE-email,GRID_CODE-company
2.235972 ,48.897312 ,6186475.50 ,0.00 ,2462866.75 ,0.00 ,0.00 ,20783.61 ,0.00 
2.236164 ,48.897312 ,4822523.00 ,0.00 ,657229.38 ,0.00 ,0.00 ,1324638.25 ,0.00 
2.236356 ,48.897312 ,8978171.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3144477.75 ,0.00 
2.236548 ,48.897312 ,6696655.50 ,0.00 ,0.00 ,0.00 ,0.00 ,4951041.50 ,0.00 
2.236740 ,48.897312 ,4838460.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6245136.50 ,0.00 
2.236932 ,48.897312 ,4828419.00 ,0.00 ,0.00 ,57748.61 ,0.00 ,7118413.50 ,33758.25 
2.237124 ,48.897312 ,1153692.38 ,0.00 ,0.00 ,678623.00 ,0.00 ,4033907.75 ,1157567.50 
2.237316 ,48.897312 ,2587443.50 ,0.00 ,0.00 ,455063.72 ,0.00 ,4816404.00 ,1556241.88 
2.237508 ,48.897312 ,7683847.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3532369.25 ,2916957.00 
2.237700 ,48.897312 ,9050017.00 ,0.00 ,0.00 ,0.00 ,0.00 ,201603.97 ,5415812.50 
2.237892 ,48.897312 ,5513884.50 ,0.00 ,0.00 ,0.00 ,0.00 ,809018.31 ,9233352.00 
2.238084 ,48.897312 ,4135902.75 ,0.00 ,0.00 ,0.00 ,0.00 ,143930.28 ,7160280.00 
2.238276 ,48.897312 ,6022102.50 ,0.00 ,0.00 ,698725.75 ,0.00 ,0.00 ,2077490.25 
2.238468 ,48.897312 ,5696674.50 ,0.00 ,0.00 ,4562060.00 ,0.00 ,0.00 ,0.00 
2.238660 ,48.897312 ,5123523.00 ,0.00 ,0.00 ,6429683.50 ,0.00 ,0.00 ,0.00 
2.238852 ,48.897312 ,6997974.00 ,0.00 ,0.00 ,2291972.75 ,0.00 ,0.00 ,0.00 
2.239044 ,48.897312 ,6563208.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.239236 ,48.897312 ,4739406.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.239428 ,48.897312 ,5142688.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3705241.75 
2.239620 ,48.897312 ,5291322.50 ,0.00 ,0.00 ,1479434.00 ,0.00 ,0.00 ,12256233.00 
2.239812 ,48.897312 ,3758472.25 ,0.00 ,0.00 ,3600813.50 ,0.00 ,75.05 ,13421983.00 
2.240004 ,48.897312 ,2387212.25 ,0.00 ,0.00 ,2065952.00 ,0.00 ,1505733.50 ,4411661.00 
2.240196 ,48.897312 ,1249595.63 ,0.00 ,0.00 ,0.00 ,0.00 ,3987113.25 ,4799371.50 
2.240388 ,48.897312 ,4041342.25 ,0.00 ,0.00 ,338894.59 ,0.00 ,7095396.50 ,8345890.50 
2.240580 ,48.897312 ,3444526.00 ,0.00 ,0.00 ,155142.69 ,0.00 ,10276767.00 ,3867424.50 
2.240772 ,48.897312 ,2649041.00 ,0.00 ,49240.66 ,0.00 ,0.00 ,9473436.00 ,1349.26 
2.240964 ,48.897312 ,5821096.50 ,0.00 ,0.00 ,0.00 ,0.00 ,4486151.00 ,0.00 
2.241156 ,48.897312 ,8226113.50 ,0.00 ,0.00 ,0.00 ,0.00 ,7151725.50 ,0.00 
2.241348 ,48.897312 ,6430187.50 ,0.00 ,41621.26 ,0.00 ,0.00 ,24543246.00 ,0.00 
2.241540 ,48.897312 ,3990509.00 ,0.00 ,1307150.38 ,0.00 ,0.00 ,28495136.00 ,0.00 
2.241732 ,48.897312 ,3510446.25 ,0.00 ,963343.00 ,1142013.88 ,0.00 ,12326055.00 ,0.00 
2.241924 ,48.897312 ,14146179.00 ,0.00 ,1330369.75 ,1556553.25 ,0.00 ,3892736.00 ,0.00 
2.242116 ,48.897312 ,13405170.00 ,0.00 ,676649.13 ,86913.71 ,0.00 ,12137903.00 ,0.00 
2.242308 ,48.897312 ,4308115.00 ,0.00 ,0.00 ,0.00 ,0.00 ,20362934.00 ,0.00 
2.242500 ,48.897312 ,9444461.00 ,0.00 ,0.00 ,0.00 ,0.00 ,22797342.00 ,0.00 
2.242692 ,48.897312 ,17903966.00 ,0.00 ,0.00 ,0.00 ,0.00 ,15619530.00 ,0.00 
2.242884 ,48.897312 ,10736739.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3968141.50 ,0.00 
2.243076 ,48.897312 ,347263.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.243268 ,48.897312 ,144265.53 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.243460 ,48.897312 ,3265891.25 ,0.00 ,0.00 ,0.00 ,0.00 ,566150.81 ,0.00 
2.243652 ,48.897312 ,9821926.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7572089.50 ,0.00 
2.243844 ,48.897312 ,11617630.00 ,0.00 ,0.00 ,0.00 ,0.00 ,14966544.00 ,0.00 
2.244036 ,48.897312 ,5018964.50 ,0.00 ,0.00 ,0.00 ,0.00 ,14992617.00 ,0.00 
2.244228 ,48.897312 ,784459.13 ,0.00 ,0.00 ,0.00 ,0.00 ,10715964.00 ,0.00 
2.244420 ,48.897312 ,6605332.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12377083.00 ,0.00 
2.244612 ,48.897312 ,10105798.00 ,0.00 ,0.00 ,0.00 ,0.00 ,17246502.00 ,0.00 
2.244804 ,48.897312 ,4874518.00 ,0.00 ,0.00 ,0.00 ,0.00 ,15468323.00 ,804204.81 
2.244996 ,48.897312 ,2264584.75 ,0.00 ,0.00 ,0.00 ,0.00 ,6995739.50 ,2692075.25 
2.245188 ,48.897312 ,4850017.50 ,0.00 ,0.00 ,0.00 ,0.00 ,1591895.88 ,1569903.63 
2.245380 ,48.897312 ,8452572.00 ,0.00 ,0.00 ,0.00 ,0.00 ,89048.97 ,0.00 
2.245572 ,48.897312 ,7446841.50 ,0.00 ,0.00 ,0.00 ,0.00 ,62315.64 ,0.00 
2.245764 ,48.897312 ,6961060.00 ,0.00 ,261861.58 ,0.00 ,0.00 ,0.00 ,0.00 
2.245956 ,48.897312 ,10924460.00 ,0.00 ,3056654.25 ,0.00 ,0.00 ,0.00 ,0.00 
2.246148 ,48.897312 ,7491006.50 ,0.00 ,3434192.50 ,0.00 ,0.00 ,30.71 ,0.00 
2.246340 ,48.897312 ,1548053.13 ,0.00 ,682622.38 ,0.00 ,0.00 ,0.00 ,0.00 
2.246532 ,48.897312 ,30564.20 ,0.00 ,0.00 ,0.00 ,0.00 ,1191834.25 ,0.00 
2.246724 ,48.897312 ,158356.67 ,0.00 ,0.00 ,0.00 ,0.00 ,5147034.50 ,0.00 
2.246916 ,48.897312 ,3643608.50 ,0.00 ,0.00 ,0.00 ,0.00 ,8482815.00 ,0.00 
2.247108 ,48.897312 ,5868910.00 ,0.00 ,459586.41 ,0.00 ,0.00 ,6638917.00 ,0.00 
2.247300 ,48.897312 ,4867848.00 ,0.00 ,2173892.50 ,0.00 ,0.00 ,2209262.25 ,380598.94 
2.247492 ,48.897312 ,10140042.00 ,0.00 ,1297596.13 ,1163028.25 ,0.00 ,0.00 ,15263023.00 
2.247684 ,48.897312 ,12239960.00 ,0.00 ,0.00 ,7259970.00 ,509122.31 ,0.00 ,43503464.00 
2.247876 ,48.897312 ,5665551.00 ,0.00 ,0.00 ,13283931.00 ,3606641.00 ,0.00 ,50872732.00 
2.248068 ,48.897312 ,228015.67 ,0.00 ,0.00 ,8748412.00 ,3802051.25 ,0.00 ,28631648.00 
2.248260 ,48.897312 ,0.00 ,0.00 ,1381770.75 ,1102268.38 ,749670.69 ,0.00 ,6797515.00 
